"ci_ciudad";"ci_descripcion";"ci_estado";"ci_provincia";"ci_cod_remesas";"ci_pais"
9986;"AMAZONAS";"V";62;;43
9987;"CASABLANCA";"E";335;;25
9988;"SAO LUIS";"V";23;;10
9989;"CADIZ";"V";22;;21
9990;"WUHU";"V";40;;17
9991;"CHISINAU";"V";336;;278
9992;"MONAGAS";"V";75;;56
9993;"ST. LOUIS";"V";21;;22
9994;"CUNDINAMARCA";"V";35;;12
9995;"IVANOVO";"V";334;;79
9996;"CATANIA";"V";54;;35
9997;"BUCARAMANGA";"V";35;;12
9998;"CRIMEA";"V";334;;79
9999;"AMATITLÁN";"V";47;;27
10000;"VILLA IMPERIAL DE POTOSI";"V";33;;9
10001;"CARONI";"V";75;;56
10002;"DACAR";"V";84;;232
10003;"LA LIBERTAD";"V";58;;39
10004;"NEUSS";"V";20;;3
10005;"SINCELEJO";"V";35;;12
10006;"ANZOATEGUI";"V";75;;56
10007;"MEDELLIN";"V";35;;12
10008;"COLONIA";"V";20;;3
10009;"ZAHALE HAOUCH EL ZARAANE";"V";85;;279
10010;"SARREGUEMINES";"V";45;;25
10011;"COREA DEL SUR";"V";86;;211
10012;"GRAN BRETAÑA";"V";87;;98
10013;"SHIZUOKA";"V";56;;37
10014;"SAN MIGUEL";"E";58;;39
10015;"PAMPLONA";"V";22;;21
10016;"LAS TUNAS";"V";38;;15
10017;"NAPLUSA";"E";88;;280
10018;"NAPLUSA";"V";88;;240
10019;"OREL";"V";334;;79
10020;"BEKAA";"V";85;;149
10021;"MIRANDA";"V";75;;56
10022;"ZACATECAS";"V";57;;38
10023;"ZARQA";"V";337;;100
10024;"MOGADISCHU";"V";338;;178
10025;"KRASNODAR";"V";334;;79
10026;"HAUTS DE SEINE";"V";45;;25
10027;"SENA Y MARNE";"V";45;;25
10028;"WAIBLINGEN";"V";20;;3
10029;"MAJAGUA";"V";38;;15
10030;"AVILA";"V";22;;21
10031;"OWERRI";"V";339;;87
10032;"OSORNO";"V";39;;16
10033;"GUALAQUIZA";"V";24;;19
10034;"INDEPENDENCIA";"V";39;;16
10035;"SUJUMI";"V";340;;281
10036;"BASAVILBASO";"V";28;;4
10037;"PEKAN JABI";"V";107;;70
10038;"ROSTOV DEL DON";"V";334;;79
10039;"BOLZANO";"V";54;;35
10040;"YORO";"V";25;;30
10041;"BRASSO";"V";50;;31
10042;"VORONEZH";"V";334;;79
10043;"DONOSTIA";"V";22;;21
10044;"PEREIRA";"V";35;;12
10045;"LAMBETH";"V";52;;33
10046;"LUDZAS NOVADS";"V";342;;148
10047;"EL PARAISO";"V";25;;30
10048;"LISLIQUE";"V";58;;39
10049;"KIEV";"V";343;;91
10050;"TELA";"V";25;;30
10059;"GUANACASTE";"V";329;;14
10060;"MOMBIN CROCHU";"V";48;;28
10061;"CABAÑAS";"V";58;;39
10062;"IZABAL";"V";47;;27
10063;"SAN CRISTOBAL";"V";75;;56
10064;"ZANJAN";"V";117;;103
10065;"LIER";"V";32;;8
10066;"COCHABAMBA";"V";33;;9
10067;"SANTA CATARINA";"V";23;;10
10068;"IRBID";"V";337;;100
10069;"LUANDA";"V";344;;111
10070;"MIXCO";"V";47;;27
10071;"HELMOND";"V";49;;29
10072;"SAN ANDRES";"V";35;;12
10073;"PIURA";"V";62;;43
10074;"KARLSRUHE";"V";20;;3
10075;"SENSUNTEPEQUE";"V";58;;39
10076;"BETORALFOGA";"V";337;;100
10077;"HUESCA";"V";22;;21
10078;"MONT-LAURIER";"V";34;;11
10079;"SONDERSHAUSEN";"V";20;;3
10080;"QUIMBAYA";"V";35;;12
10081;"CHINAVITA";"V";35;;12
10082;"BAHAWALNAGAR";"V";114;;80
10083;"CABAIGUAN";"V";38;;15
10084;"SAN CRISTOBAL";"V";345;;89
10085;"HEREDIA";"V";37;;14
10086;"DADE COUNTY";"V";21;;22
10087;"KANAGAWA";"V";56;;37
10088;"ANTIGUA GUATEMALA";"V";47;;27
10089;"PLACETAS";"V";38;;15
10090;"KISHINEV";"V";346;;208
10091;"ISLA DE LA JUVENTUD";"V";38;;15
10092;"SAN MIGUEL";"V";58;;39
10093;"EL PORVENIR";"V";25;;30
10094;"MINSK";"V";330;;119
10095;"TACNA";"V";62;;43
10096;"CIENFUEGOS";"V";38;;15
10097;"KARAWANELLA";"V";347;;94
10098;"GUARICO";"V";75;;56
10099;"BENQUE VIEJO DEL CARMEN";"V";31;;7
10100;"PETERBOROUGH";"V";34;;11
10101;"JARKOV";"V";343;;91
10102;"TBILISI";"V";348;;97
10103;"ARENILLAS";"V";24;;19
10104;"KRASNOYARSK";"V";334;;242
10105;"NEZAHUALCOYOTL";"V";57;;38
10106;"VITORIA GASTEIZ";"V";22;;21
10107;"BADAJOZ";"V";22;;21
10108;"WSCHOWA";"V";63;;44
10109;"CHAMBERI";"V";45;;25
10110;"BARACALDO";"V";22;;21
